# Curated entity aliases — Layer 2 of entity resolution.
# Both key columns are POST-canonicalize() keys. Single-hop only: a target must
# never appear as a source. Every row is human-reviewed. The `note` column is a
# per-row provenance breadcrumb (see ADR-0002..0004, entity-resolution spec).
# See docs/superpowers/specs/2026-07-08-entity-resolution-design.md.
source_canonical,target_canonical,note
BOEHRINGER INGELHEIM PHARMACEUTICA,BOEHRINGER INGELHEIM PHARMACEUTICALS,worksheet-2026-07-11
CLEVELAND CLINIC AKRON GENERAL,CLEVELAND CLINIC AKRON GENERAL MEDICAL CENTER,worksheet-2026-07-11
HARVARD MEDICAL FACULTY PHYSICIANS AT BETH ISRAEL DEACONESS MEDICAL C,HARVARD MEDICAL FACULTY PHYSICIANS AT BETH ISRAEL DEACONESS MEDICAL CENTER,worksheet-2026-07-11
ST JUDE CHILDRENS RESEARCH HOSPITA,ST JUDE CHILDRENS RESEARCH HOSPITAL,worksheet-2026-07-11
TAG INFORMATION SERVICE,TAG INFORMATION SERVICES,worksheet-2026-07-11
CHILDRENS HOSPITAL OF PHILADEL,CHILDRENS HOSPITAL OF PHILADELPHIA,worksheet-2026-07-11
CIVIL AND ENVIRONMENTAL CONSULTANTS CEC,CIVIL AND ENVIRONMENTAL CONSULTANTS,worksheet-2026-07-11
DWAITH INFO TECH,DWAITH INFOTECH,worksheet-2026-07-11
EA LEARN,EALEARN,worksheet-2026-07-11
GINE TECH,GINETECH,worksheet-2026-07-11
ISAM HYBRID INFORMATION SYSTEMS LL,ISAM HYBRID INFORMATION SYSTEMS,worksheet-2026-07-11
MASSACHUSETTS INSTITUTE OF TECHNOL,MASSACHUSETTS INSTITUTE OF,worksheet-2026-07-11
MERCURY INS SVCS,MERCURY INSURANCE SERVICES,worksheet-2026-07-11
POPLI ARCHITECTURE ENGINEERING AND LS DPC,POPLI ARCHITECTURE AND ENGINEERING AND LS DPC,worksheet-2026-07-11
SV INFOTECH,SV INFO TECH,worksheet-2026-07-11
TUBA CITY UNIFIED SCHOOL DISTRICT,TUBA CITY UNIFIED SCHOOL DISTRICT NO 15,worksheet-2026-07-11
UNIVERSITY OF CONNECTICUT OFFICE O,UNIVERSITY OF CONNECTICUT,worksheet-2026-07-11
VERANS BUSINESS SOLUTIONS,VERANS BUSINESS SOLUATIONS,worksheet-2026-07-11
VERTEX PHARMACEUTICALS INCORPORATE,VERTEX PHARMACEUTICALS,worksheet-2026-07-11
APPLOGICS,APPZLOGIC,worksheet-2026-07-11
AZAR DESIGN ARCHITECTURE LANDSCAPE ARCHITECTURE ENGINEERING AND SU,AZAR DESIGN ARCHITECTURE LANDSCAPE ARCHITECTURE ENGINEERING AND SURVEYING,worksheet-2026-07-11
CHARLES A MANGANARO CONSULTING ENG,CHARLES A MANGANARO CONSULTING ENGINEERS,worksheet-2026-07-11
CHEMTEX ENVIRONMENTAL LABORATORY I,CHEMTEX ENVIRONMENTAL LABORATORY,worksheet-2026-07-11
CHILDRENS HOSPITAL RADIOLOGY FDTN,CHILDRENS HOSPITAL RADIOLOGY FOUNDATION,worksheet-2026-07-11
CLARKE COUNTY SCHOOL DISTRICT,CLARKE COMMUNITY SCHOOL DISTRICT,worksheet-2026-07-11
COASTAL MEDICINE PHYSICIANS,COASTAL MEDICAL PHYSICIANS,worksheet-2026-07-11
COMPUTER MANAGEMENT AND INFORMATIO,COMPUTER MANAGEMENT AND INFORMATION SOLUTIONS,worksheet-2026-07-11
EXCELLERATE EDUCATION SOLUTIONS IN,EXCELLERATE EDUCATION SOLUTIONS,worksheet-2026-07-11
FUSION GLOBAL AND SOLUTIONS,FUSION GLOBAL SOLUTIONS,worksheet-2026-07-11
FUYAO AUTOMOTIVE OF NORTH AMERICA,FUYAO AUTOMOTIVE NORTH AMERICA,worksheet-2026-07-11
HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY SCHOOL,HORIZON SCIENCE ACADEMY ELEMENTARY SCHOOL,worksheet-2026-07-11
HOWARD HUGHES MEDICAL INSTITUTE HH,HOWARD HUGHES MEDICAL INSTITUTE,worksheet-2026-07-11
INNOVATIVE LEGAL SERVICES,INNOVATIVE LEGAL SERVICE,worksheet-2026-07-11
NOVARTIS INSTITUTES FOR BIOMEDICAL,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,worksheet-2026-07-11
ORION CONSTRUCTION GUA,ORION CONSTRUCTION GUAM,worksheet-2026-07-11
UNIQUE LOGIC SOLUTIONS,UNIQUELOGICSOLUTIONS,worksheet-2026-07-11
ADVANCED KNOWLEDGE IN,ADVANCED KNOWLEDGE,worksheet-2026-07-11
AIM AND N GRAPHICS,AIM AND N GRAPHIC SOLUTIONS,worksheet-2026-07-11
ALIBABA COM USE COMMERCE,ALIBABA COM US E COMMERCE,worksheet-2026-07-11
BETH ISRAEL DEACONESS MEDICAL CENT,BETH ISRAEL DEACONESS MEDICAL CENTER,worksheet-2026-07-11
CORDX,CORD,worksheet-2026-07-11
DISTRICT OF COLUMBIA PUBLIC SCHOOL,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,worksheet-2026-07-11
ERNST AND YOUNG CNMI,ERNST AND YOUNG US,worksheet-2026-07-11
FLEXSHOPPPER,FLEXSHOPPER,worksheet-2026-07-11
GIA GEMOLOGICAL INSTITUTE OF AMERICA,GEMOLOGICAL INSTITUTE OF AMERICA,worksheet-2026-07-11
GILSANZ MURRAY STEFICEK LLP ENGINE,GILSANZ MURRAY STEFICEK LLP ENGINEERS AND ARCHITECTS,worksheet-2026-07-11
GROCERY DELIVERY E SERVICES USA IN,GROCERY DELIVERY E SERVICES USA,worksheet-2026-07-11
GURU GROUP,GURUGROUP,worksheet-2026-07-11
HORIZON SCIENCE ACADEMY LORAIN,HORIZON SCIENCE ACADEMY OF LORAIN,worksheet-2026-07-11
HOSPITALIST MEDICINE PHYSICIANS OF OHIO PCDBA SOUND PHYSICIANS OF,HOSPITALIST MEDICINE PHYSICIANS OF OHIO COLUMBUS II,worksheet-2026-07-11
IHEARTMEDIA MANAGEMENT SERVICES IN,IHEARTMEDIA MANAGEMENT SERVICES,worksheet-2026-07-11
INDIANA MATH AND SCIENCE ACADEMY NORTH,INDIANA MATH AND SCIENCE ACADEMY NORTH INDIANAPOLIS,worksheet-2026-07-11
INDURIT SOLUTIONS,INDUR IT SOLUTIONS,worksheet-2026-07-11
ITCA ISUZU TECHNICAL CENTER OF AMERICA,ISUZU TECHNICAL CENTER OF AMERICA,worksheet-2026-07-11
KODIAK ISLAND BOROUGH SCHOOL DISTR,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,worksheet-2026-07-11
LAMAR JOHNSON COLLABORATIVE IN,LAMAR JOHNSON COLLABORATIVE,worksheet-2026-07-11
LANDIS GYR,LANDISGYR,worksheet-2026-07-11
PRACTICE VANTAGE CONSULTING GROUP,PRACTICEVANTAGE CONSULTING GROUP,worksheet-2026-07-11
